344,手裡劍,1,;弾數のある限り連続攻撃が可能になる裝備。弾が盡きるとダメージ低下
345,弓箭,1,;弾數のあり限りダメージが強化される裝備。弾が盡きると攻撃不可
346,權杖,1,;ミスする代わりにダメージが大きい裝備
347,戰錘,1,;よくミスする代わりにかなりダメージの大きい裝備
348,鐮刀,1,;ミスする代わりに気力が回復する裝備
349,觸手,1,;気力が下がる代わりに、敵勇者の気力へのダメージが増える裝備
350,細劍,1,;連続攻撃が可能な裝備、匕首の上位互換
351,偃月刀,1,;ミスする代わりにダメージが大きい裝備.。メイスの上位版
352,指虎,1,;ダガーよりダメージが低く、ダガーより連続攻撃する
;400以降は消耗品,,,
400,草藥,1,;HP500回復
401,回覆藥水,1,;気力500回復
402,回覆之杖,1,;HP200回復複數使用可能
403,精神之杖,1,;気力200回復複數使用可能
404,力之種子,1,;攻撃+1
405,守之種子,1,;防禦+1
406,經驗硬幣,1,;經驗值+50
407,命之種子,1,;最大HP+10
408,心之種子,1,;最大気力+5
409,經驗銀幣,1,;經驗值+150
410,聖水,1,;寄生回復
411,墮落的寶石箱,1,;換金用
412,透明化之藥,1,;忍術相當の迴避力UP
413,英雄之藥,1,;攻撃・防禦・迴避率UP
;500以降は設施,,,
500,商店街,1,;現金収入
501,沼地,1,;侵攻スピードを下げる
502,人類牧場,1,;肉便器の數に応じても怪物が増える
503,冰室,1,;攻撃力を下げる
504,熱砂,1,;防禦力を下げる
505,迷宮,1,;侵攻スピードを下げる高級版
506,博物館,1,;石像の數に応じて士気を下げる
507,娼館街,1,;娼婦の奴隷が階層に留まるようになる。イベントも発生する
;550以降は追加罠,,,
;600以降は追加モンスター,,,
600,野蠻人,1,
601,巨蟻,1,
602,紅皮獸人,1,
603,食人花,1,
604,大猩猩,1,
605,圖騰女郎,1,
606,大象,1,
607,赤紅薩滿,1,
608,巨魔法師,1,
609,森林巨龍,1,
;1000以降は集団戦の敵、一様1999までを確保とする,,,
1000,十字軍戰士,1,
1001,十字軍神官,1,
1002,十字軍騎士,1,
1003,十字軍法師,1,
1004,十字軍獵手,1,
1005,十字軍戰士,1,
1006,十字軍神官,1,
1007,十字軍騎士,1,
1008,十字軍法師,1,
1009,十字軍獵手,1,
